lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,token_id
zh,net,网,"A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","""网""在排球和网球等运动中用来划分比赛区域。答案：""网""。","""_""在排球和网球等运动中用来划分比赛区域。答案：""网""。",32239
zh,gold,金,"""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""金""是常用于珠宝的贵金属。答案：""金""。","""_""是常用于珠宝的贵金属。答案：""金""。",35330
zh,door,门,"A ""door"" is used for entering or exiting a room. Answer: ""door"".","""门""用于进入或离开房间。答案：""门""。","""_""用于进入或离开房间。答案：""门""。",65789
zh,one,一,"A ""one"" is a number that comes after zero and before two. Answer: ""one"".","""一""是在零之后、二之前的数字。答案：""一""。","""_""是在零之后、二之前的数字。答案：""一""。",15120
zh,two,二,"The number ""two"" is the sum of one plus one. Answer: ""two"".","""二""是一加一的和。答案：""二""。","""_""是一加一的和。答案：""二""。",41920
zh,three,三,"The number that comes after two is ""three"". Answer: ""three"".","""三""是在二之后的数字。答案：""三""。","""_""是在二之后的数字。答案：""三""。",46091
zh,four,四,"The number ""four"" is the integer that comes after three. Answer: ""four"".","""四""是在三之后的整数。答案：""四""。","""_""是在三之后的整数。答案：""四""。",64803
zh,five,五,"The number that comes after four is ""five"". Answer: ""five"".","""五""是在四之后的数字。答案：""五""。","""_""是在四之后的数字。答案：""五""。",76208
zh,ten,十,"The number that comes after nine is ""ten"". Answer: ""ten"".","""十""是在九之后的数字。答案：""十""。","""_""是在九之后的数字。答案：""十""。",95598
zh,head,头,"'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","""头""是身体的一部分，包含大脑、眼睛、耳朵、鼻子和嘴巴。答案：""头""。","""_""是身体的一部分，包含大脑、眼睛、耳朵、鼻子和嘴巴。答案：""头""。",65455
zh,shop,店,"A ""shop"" is a place where you can buy goods or services. Answer: ""shop"".","""店""是你可以购买商品或服务的地方。答案：""店""。","""_""是你可以购买商品或服务的地方。答案：""店""。",72516
zh,strip,条,"A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","""条""是某种材料的长而窄的一片。答案：""条""。","""_""是某种材料的长而窄的一片。答案：""条""。",40089
zh,part,部,"A ""part"" is used to make up a whole. Answer: ""part"".","""部""用来构成一个整体。答案：""部""。","""_""用来构成一个整体。答案：""部""。",34048
zh,eye,目,"A ""eye"" is used to see everything around us. Answer: ""eye"".","""目""用来看我们周围的一切。答案：""目""。","""_""用来看我们周围的一切。答案：""目""。",30832
zh,field,场,"A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","""场""是开阔土地的广阔区域，用来种植作物。答案：""场""。","""_""是开阔土地的广阔区域，用来种植作物。答案：""场""。",83324
zh,site,址,"A ""site"" is a location where something is, was, or will be built. Answer: ""site"".","""址""是某事物是、曾是或将要建立的位置。答案：""址""。","""_""是某事物是、曾是或将要建立的位置。答案：""址""。",41723
zh,meaning,意,"""A ""dictionary"" is used to find the meaning of words. Answer: ""dictionary"".""","""意""用来找出词语的意义。答案：""意""。","""_""用来找出词语的意义。答案：""意""。",37689
zh,word,字,"A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","""字""是语言中单独的、有意义的元素，与其他字一起（或有时单独）用来构成句子，当书写或打印时，通常在两边显示为空格。答案：""字""。","""_""是语言中单独的、有意义的元素，与其他字一起（或有时单独）用来构成句子，当书写或打印时，通常在两边显示为空格。答案：""字""。",19113
zh,north,北,"""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""北""是一个经常与寒冷和极地地区相关的基本方向。答案：""北""。","""_""是一个经常与寒冷和极地地区相关的基本方向。答案：""北""。",49409
zh,machine,机,"A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","""机""用来执行特定任务或生产某物。答案：""机""。","""_""用来执行特定任务或生产某物。答案：""机""。",33748
zh,time,时,"""A ""clock"" is used to measure ""time"". Answer: ""time"".""","""时""用来测量时间。答案：""时""。","""_""用来测量时间。答案：""时""。",13646
zh,benefit,利,"A ""benefit"" is something that promotes or enhances well-being. Answer: ""benefit"".","""利""是促进或增强福祉的东西。答案：""利""。","""_""是促进或增强福祉的东西。答案：""利""。",60632
zh,position,位,"A ""position"" is a place where someone or something is located or has been put. Answer: ""position"".","""位""是某人或某物位于或被放置的地方。答案：""位""。","""_""是某人或某物位于或被放置的地方。答案：""位""。",25129
zh,province,省,"A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","""省""是某些国家或帝国的主要行政划分。答案：""省""。","""_""是某些国家或帝国的主要行政划分。答案：""省""。",66870
zh,exchange,交,"An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","""交""是股票、债券或其他证券被买卖的地方。答案：""交""。","""_""是股票、债券或其他证券被买卖的地方。答案：""交""。",39209
zh,middle,中,"""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""中""是距离某物的边缘或外界等距离的点。答案：""中""。","""_""是距离某物的边缘或外界等距离的点。答案：""中""。",16325
zh,friend,友,"A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","""友""是你与之共享亲密个人关系的人。答案：""友""。","""_""是你与之共享亲密个人关系的人。答案：""友""。",98915
zh,color,色,"""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""色""用来识别或描述物体的外观。答案：""色""。","""_""用来识别或描述物体的外观。答案：""色""。",39135
zh,kind,种,"""A ""kind"" is a category or type of something. Answer: ""kind"".""","""种""是某物的类别或类型。答案：""种""。","""_""是某物的类别或类型。答案：""种""。",87502
zh,structure,构,"A ""structure"" is a construction that has a specific purpose or function. Answer: ""structure"".","""构""是具有特定目的或功能的建筑物。答案：""构""。","""_""是具有特定目的或功能的建筑物。答案：""构""。",78935
zh,tie,结,"A ""tie"" is worn around the neck as part of formal attire. Answer: ""tie"".","""结""是作为正式服装的一部分围绕脖子的。答案：""结""。","""_""是作为正式服装的一部分围绕脖子的。答案：""结""。",37985
zh,example,例,"An ""example"" is used to illustrate a point or concept. Answer: ""example"".","""例""用来阐释一个观点或概念。答案：""例""。","""_""用来阐释一个观点或概念。答案：""例""。",27452
zh,face,面,"A ""face"" is the front part of a person's head, including the forehead, eyes, nose, and mouth. Answer: ""face"".","""面""是人的头的前部，包括额头、眼睛、鼻子和嘴巴。答案：""面""。","""_""是人的头的前部，包括额头、眼睛、鼻子和嘴巴。答案：""面""。",28190
zh,item,项,"An ""item"" is a thing that is unspecified or unidentified. Answer: ""item"".","""项""是未指定或未识别的事物。答案：""项""。","""_""是未指定或未识别的事物。答案：""项""。",48982
zh,beauty,美,"'""Beauty"" is a characteristic that provides a perceptual experience of pleasure or satisfaction. Answer: ""beauty"".'","""美""是提供愉悦或满足感知体验的特征。答案：""美""。","""_""是提供愉悦或满足感知体验的特征。答案：""美""。",58666
zh,platform,台,"A ""platform"" is used to support or raise something. Answer: ""platform"".","""台""用来支持或抬高某物。答案：""台""。","""_""用来支持或抬高某物。答案：""台""。",55038
zh,sun,阳,"The ""sun"" is a star at the center of the Solar System that provides light and heat to Earth. Answer: ""sun"".","""阳""是太阳系中心的一颗恒星，为地球提供光和热。答案：""阳""。","""_""是太阳系中心的一颗恒星，为地球提供光和热。答案：""阳""。",83175
zh,meeting,会,"A ""meeting"" is a gathering of people for a specific purpose, often for discussion or decision-making. Answer: ""meeting"".","""会""是为特定目的聚集的人，通常用于讨论或决策。答案：""会""。","""_""是为特定目的聚集的人，通常用于讨论或决策。答案：""会""。",38093
zh,square,方,"A ""square"" is a shape with four equal sides and four right angles. Answer: ""square"".","""方""是四边相等且四个角都是直角的形状。答案：""方""。","""_""是四边相等且四个角都是直角的形状。答案：""方""。",24273
zh,generation,代,"""A ""generation"" is a term used to describe all of the people born and living at about the same time. Answer: ""generation"".""","""代""用来描述大约同时代出生和生活的所有人。答案：""代""。","""_""用来描述大约同时代出生和生活的所有人。答案：""代""。",31640
zh,south,南,"""The ""south"" is a cardinal direction opposite to north. Answer: ""south"".""","""南""是指向北的基本方向的相反方向。答案：""南""。","""_""是指向北的基本方向的相反方向。答案：""南""。",59563
zh,tribe,族,"A ""tribe"" is a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties. Answer: ""tribe"".","""族""是传统社会中由家庭或社区通过社会、经济、宗教或血缘关系链接的社会分支。答案：""族""。","""_""是传统社会中由家庭或社区通过社会、经济、宗教或血缘关系链接的社会分支。答案：""族""。",71869
zh,city,城,"A ""city"" is a large human settlement where people live and work. Answer: ""city"".","""城""是人们居住和工作的大型人类聚居地。答案：""城""。","""_""是人们居住和工作的大型人类聚居地。答案：""城""。",60174
zh,language,语,"A ""language"" is used to communicate thoughts and ideas. Answer: ""language"".","""语""用来交流思想和观点。答案：""语""。","""_""用来交流思想和观点。答案：""语""。",73981
zh,speed,速,"""A ""speed"" is used to measure how fast something is moving. Answer: ""speed"".""","""速""用来测量某物移动的快慢。答案：""速""。","""_""用来测量某物移动的快慢。答案：""速""。",95399
zh,ground,地,"""A ""ground"" is where we walk and build houses on. Answer: ""ground"".""","""地""是我们行走和建造房屋的地方。答案：""地""。","""_""是我们行走和建造房屋的地方。答案：""地""。",30590
zh,advance,进,"""Advance"" is a term used to describe moving forward or making progress. Answer: ""advance"".","""进""是用来描述向前移动或取得进展的术语。答案：""进""。","""_""是用来描述向前移动或取得进展的术语。答案：""进""。",42399
zh,attempt,试,"An ""attempt"" is made when trying to achieve something. Answer: ""attempt"".","""试""是尝试达成某事的行为。答案：""试""。","""_""是尝试达成某事的行为。答案：""试""。",42421
zh,defeat,败,"""A ""defeat"" is experienced when one loses a competition or battle. Answer: ""defeat"".""","""败""是在竞赛或战斗中输掉时的体验。答案：""败""。","""_""是在竞赛或战斗中输掉时的体验。答案：""败""。",21809
zh,east,东,"""The ""east"" is a cardinal direction opposite of west. Answer: ""east"".""","""东""是西的相反基本方向。答案：""东""。","""_""是西的相反基本方向。答案：""东""。",68464
zh,return,回,"A ""return"" is used to give back a purchased item. Answer: ""return"".","""回""用来归还购买的物品。答案：""回""。","""_""用来归还购买的物品。答案：""回""。",18904
zh,speech,话,"""A ""speech"" is a formal address or discourse delivered to an audience. Answer: ""speech"".""","""话""是对听众发表的正式讲话或演说。答案：""话""。","""_""是对听众发表的正式讲话或演说。答案：""话""。",58543
zh,child,子,"'A ""child"" is a young human being below the age of puberty. Answer: ""child"".'","""子""是未到青春期的年轻人类。答案：""子""。","""_""是未到青春期的年轻人类。答案：""子""。",45829
zh,hair,发,"A ""hair"" is found on the heads of humans and animals. Answer: ""hair"".","""发""位于人类和动物头上。答案：""发""。","""_""位于人类和动物头上。答案：""发""。",29391
zh,flat,平,"A ""book"" is often flat and used for reading. Answer: ""book"".","""平""是通常用于阅读的平面物体。答案：""平""。","""_""是通常用于阅读的平面物体。答案：""平""。",50211
zh,male,男,"'A ""man"" is an example of a male. Answer: ""man"".'","""男""是男性的一个例子。答案：""男""。","""_""是男性的一个例子。答案：""男""。",71208
zh,electric,电,"An ""electricity"" is used to power devices. Answer: ""electricity"".","""电""用来为设备供电。答案：""电""。","""_""用来为设备供电。答案：""电""。",39312
zh,household,户,"A ""household"" is a term used to describe a residential unit where people live. Answer: ""household"".","""户""是用来描述人们居住的住宅单元的术语。答案：""户""。","""_""是用来描述人们居住的住宅单元的术语。答案：""户""。",17982
zh,person,人,"'A ""person"" is a human being regarded as an individual. Answer: ""person"".'","""人""是被视为个体的人类。答案：""人""。","""_""是被视为个体的人类。答案：""人""。",17792
zh,section,段,"A ""section"" is a distinct part or subdivision of something. Answer: ""section"".","""段""是某物的明显部分或子分区。答案：""段""。","""_""是某物的明显部分或子分区。答案：""段""。",38574
zh,office,局,"An ""office"" is a place where people usually do their job. Answer: ""office"".","""局""是人们通常进行工作的地方。答案：""局""。","""_""是人们通常进行工作的地方。答案：""局""。",91077
zh,rise,起,"""A ""rise"" is used to describe an increase or upward movement. Answer: ""rise"".""","""起""用来描述增加或向上移动。答案：""起""。","""_""用来描述增加或向上移动。答案：""起""。",72718
zh,left,左,"'A ""left"" is a direction opposite to right. Answer: ""left"".'","""左""是右的相反方向。答案：""左""。","""_""是右的相反方向。答案：""左""。",78659
zh,sound,音,"A ""sound"" is something we hear. Answer: ""sound"".","""音""是我们听到的东西。答案：""音""。","""_""是我们听到的东西。答案：""音""。",79785
zh,power,力,"""A ""power"" is used to control or influence people or things. Answer: ""power"".""","""力""用来控制或影响人或物。答案：""力""。","""_""用来控制或影响人或物。答案：""力""。",48634
