lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked
zh,foot,足,"A ""foot"" is used for walking and running. Answer: ""foot"".","""足""用于行走和跑步。答案：""足""。","""_""用于行走和跑步。答案：""足""。"
zh,snow,雪,"""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""雪""是在冬季从天空降落的一种降水形式。答案：""雪""。","""_""是在冬季从天空降落的一种降水形式。答案：""雪""。"
zh,horse,马,"A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","""马""是一种大型家养动物，有四条腿，常用于骑乘和赛跑。答案：""马""。","""_""是一种大型家养动物，有四条腿，常用于骑乘和赛跑。答案：""马""。"
zh,yellow,黄,"A ""banana"" is often yellow. Answer: ""banana"".","""黄""常见于香蕉。答案：""黄""。","""_""常见于香蕉。答案：""黄""。"
zh,white,白,"A ""chalk"" is often white and used for writing on blackboards. Answer: ""chalk"".","""白""常见于粉笔，用于在黑板上写字。答案：""白""。","""_""常见于粉笔，用于在黑板上写字。答案：""白""。"
zh,six,六,"The number that comes after five is ""six"". Answer: ""six"".","""六""是在五之后的数字。答案：""六""。","""_""是在五之后的数字。答案：""六""。"
zh,seven,七,"The number ""seven"" comes after six. Answer: ""seven"".","""七""是在六之后的数字。答案：""七""。","""_""是在六之后的数字。答案：""七""。"
zh,eight,八,"The number ""eight"" comes after seven. Answer: ""eight"".","""八""是在七之后的数字。答案：""八""。","""_""是在七之后的数字。答案：""八""。"
zh,nine,九,"The number that comes after eight is ""nine"". Answer: ""nine"".","""九""是在八之后的数字。答案：""九""。","""_""是在八之后的数字。答案：""九""。"
zh,street,街,"A ""street"" is a public road in a city, town, or village. Answer: ""street"".","""街""是城市、镇或村庄中的公共道路。答案：""街""。","""_""是城市、镇或村庄中的公共道路。答案：""街""。"
zh,dance,舞,"A ""dance"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".","""舞""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。","""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。"
zh,pair,双,"""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""双""是一起使用或被视为一个单位的两件事物的集合。答案：""双""。","""_""是一起使用或被视为一个单位的两件事物的集合。答案：""双""。"
zh,seat,座,"A ""seat"" is used to sit and rest. Answer: ""seat"".","""座""用来坐和休息。答案：""座""。","""_""用来坐和休息。答案：""座""。"
zh,light,光,"A ""light"" is used to illuminate dark spaces. Answer: ""light"".","""光""用来照亮黑暗的空间。答案：""光""。","""_""用来照亮黑暗的空间。答案：""光""。"
zh,thousand,千,"A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","""千""是在九百九十九之后的数值。答案：""千""。","""_""是在九百九十九之后的数值。答案：""千""。"
zh,judge,判,"A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","""判""是在法庭程序中主持审判的人，无论是独自一人还是作为评判团的一部分。答案：""判""。","""_""是在法庭程序中主持审判的人，无论是独自一人还是作为评判团的一部分。答案：""判""。"
zh,school,校,"A ""school"" is a place where students go to learn. Answer: ""school"".","""校""是学生去学习的地方。答案：""校""。","""_""是学生去学习的地方。答案：""校""。"
zh,bridge,桥,"A ""bridge"" is used to connect two areas separated by obstacles like rivers or roads. Answer: ""bridge"".","""桥""用来连接被河流或道路等障碍分隔的两个地区。答案：""桥""。","""_""用来连接被河流或道路等障碍分隔的两个地区。答案：""桥""。"
zh,delete,删,"A ""delete"" is used to remove text or data. Answer: ""delete"".","""删""用来移除文本或数据。答案：""删""。","""_""用来移除文本或数据。答案：""删""。"
zh,group,群,"'A ""group"" is a number of people or things that are located, gathered, or classed together. Answer: ""group"".'","""群""是一些位于一起、聚集在一起或被归类在一起的人或物。答案：""群""。","""_""是一些位于一起、聚集在一起或被归类在一起的人或物。答案：""群""。"
zh,talent,才,"A ""talent"" is a natural aptitude or skill. Answer: ""talent"".","""才""是天生的才能或技能。答案：""才""。","""_""是天生的才能或技能。答案：""才""。"
zh,house,屋,"A ""house"" is a place where people live. Answer: ""house"".","""屋""是人们居住的地方。答案：""屋""。","""_""是人们居住的地方。答案：""屋""。"
zh,history,史,"""The study of past events, particularly in human affairs"" is known as ""history"". Answer: ""history"".","""史""是对过去事件的研究，尤其是人类事务。答案：""史""。","""_""是对过去事件的研究，尤其是人类事务。答案：""史""。"
zh,valley,谷,"A ""valley"" is a low area between hills or mountains typically with a river running through it. Answer: ""valley"".","""谷""是山丘或山脉之间的低地，通常有河流穿过。答案：""谷""。","""_""是山丘或山脉之间的低地，通常有河流穿过。答案：""谷""。"
zh,virtue,德,"A ""virtue"" is a quality considered morally good or desirable in a person. Answer: ""virtue"".","""德""是人中被视为道德上好或可取的品质。答案：""德""。","""_""是人中被视为道德上好或可取的品质。答案：""德""。"
zh,tail,尾,"A ""tail"" is a part of an animal's body that extends from the base of the spine. Answer: ""tail"".","""尾""是动物身体从脊柱基部延伸出的部分。答案：""尾""。","""_""是动物身体从脊柱基部延伸出的部分。答案：""尾""。"
zh,mother,母,"A ""mother"" is a woman who has given birth to a child. Answer: ""mother"".","""母""是生下孩子的女性。答案：""母""。","""_""是生下孩子的女性。答案：""母""。"
zh,tower,塔,"A ""tower"" is a tall structure that can be used for various purposes such as observation, communication, or storage. Answer: ""tower"".","""塔""是一种高耸的结构，可用于观察、通信或存储等各种目的。答案：""塔""。","""_""是一种高耸的结构，可用于观察、通信或存储等各种目的。答案：""塔""。"
zh,official,官,"An ""official"" is a person who holds a position of authority in an organization or government. Answer: ""official"".","""官""是组织或政府中拥有权威职位的人。答案：""官""。","""_""是组织或政府中拥有权威职位的人。答案：""官""。"
zh,hundred,百,"A ""hundred"" is a numerical value equal to 10 tens. Answer: ""hundred"".","""百""是数值，等于10个十。答案：""百""。","""_""是数值，等于10个十。答案：""百""。"
zh,rock,岩,"A ""rock"" is a solid mineral material forming part of the surface of the earth. Answer: ""rock"".","""岩""是构成地球表面部分的固体矿物材料。答案：""岩""。","""_""是构成地球表面部分的固体矿物材料。答案：""岩""。"
zh,summer,夏,"""The ""summer"" is a season known for its warm weather. Answer: ""summer"".""","""夏""是以温暖的天气为特征的季节。答案：""夏""。","""_""是以温暖的天气为特征的季节。答案：""夏""。"
